no_of_adults,no_of_children,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,avg_price_per_room,booking_status
2,0,Meal Plan 1,0,Room_Type 1,5,2018,6,12,Online,131,0
1,0,Meal Plan 1,0,Room_Type 1,56,2017,9,25,Online,0,0
2,0,Meal Plan 1,0,Room_Type 1,0,2017,9,8,Online,124,0
2,0,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,96,0
1,0,Meal Plan 1,0,Room_Type 4,19,2018,11,7,Online,6,0
2,1,Meal Plan 1,0,Room_Type 6,7,2018,9,9,Online,237,0
2,0,Meal Plan 1,0,Room_Type 1,90,2018,6,14,Online,130.78,1
2,0,Meal Plan 1,0,Room_Type 1,250,2018,10,28,Online,90.95,1
3,0,Meal Plan 2,0,Room_Type 4,58,2018,4,5,Online,189,0
2,0,Meal Plan 1,0,Room_Type 1,56,2018,6,21,Online,76.92,0
2,0,Meal Plan 1,0,Room_Type 4,17,2018,11,9,Online,143.43,0
1,0,Meal Plan 1,0,Room_Type 1,182,2018,10,12,Online,120,1
2,0,Meal Plan 1,0,Room_Type 1,149,2018,5,6,Online,99.45,1
2,0,Meal Plan 1,0,Room_Type 4,56,2018,5,2,Online,140.4,1
2,0,Not Selected,0,Room_Type 1,71,2018,4,22,Online,87.13,1
1,0,Meal Plan 1,0,Room_Type 1,38,2017,10,1,Offline,58,0
2,0,Meal Plan 1,0,Room_Type 1,63,2018,4,25,Online,103.87,0
2,0,Not Selected,0,Room_Type 1,35,2018,3,16,Online,71.1,0
2,0,Meal Plan 1,0,Room_Type 1,155,2018,9,2,Online,126.9,1
2,0,Meal Plan 1,0,Room_Type 1,2,2017,8,10,Online,98,0
2,0,Meal Plan 1,0,Room_Type 4,92,2018,3,18,Online,87.3,0
1,0,Meal Plan 1,0,Room_Type 1,0,2017,9,8,Offline,91.2,0
2,0,Meal Plan 1,0,Room_Type 4,11,2018,9,5,Online,154,1
2,1,Meal Plan 1,0,Room_Type 4,143,2018,4,23,Online,101.54,1
1,0,Meal Plan 1,0,Room_Type 1,3,2018,3,31,Online,106,0
2,2,Meal Plan 1,0,Room_Type 2,2,2018,2,11,Online,85.03,1
2,0,Meal Plan 1,0,Room_Type 4,141,2018,8,15,Online,124.8,1
2,0,Meal Plan 1,0,Room_Type 1,29,2018,10,3,Online,143.03,0
2,0,Meal Plan 1,1,Room_Type 4,124,2018,8,4,Online,127.8,0
1,0,Meal Plan 2,0,Room_Type 1,4,2017,8,1,Offline,36.25,0
2,0,Meal Plan 1,0,Room_Type 4,167,2018,3,13,Offline,60,0
3,0,Meal Plan 1,0,Room_Type 4,12,2018,5,7,Online,177,0
2,0,Meal Plan 1,0,Room_Type 1,114,2018,5,7,Online,75.27,0
2,0,Meal Plan 1,0,Room_Type 1,162,2018,7,14,Online,112,1
2,0,Not Selected,0,Room_Type 1,47,2018,9,9,Online,125.1,0
2,0,Meal Plan 1,0,Room_Type 1,49,2018,7,23,Online,135.9,0
3,0,Meal Plan 1,1,Room_Type 4,18,2018,12,23,Online,191,0
2,1,Meal Plan 1,0,Room_Type 4,199,2018,12,28,Online,98.18,1
2,2,Meal Plan 1,0,Room_Type 6,46,2018,5,14,Online,198.9,1
2,0,Meal Plan 1,0,Room_Type 4,6,2018,2,12,Online,106,0
2,0,Not Selected,0,Room_Type 1,80,2018,4,13,Online,85.5,0
3,0,Meal Plan 1,0,Room_Type 1,39,2018,2,8,Offline,98.94,0
2,0,Meal Plan 1,0,Room_Type 1,127,2018,7,10,Online,114.3,0
2,0,Meal Plan 1,0,Room_Type 1,67,2018,3,26,Offline,76.16,0
2,0,Meal Plan 1,0,Room_Type 4,23,2018,12,30,Online,115.9,0
2,0,Meal Plan 1,0,Room_Type 1,1,2017,8,26,Online,110.8,0
2,0,Meal Plan 1,0,Room_Type 1,93,2017,10,7,Online,89.25,0
2,1,Meal Plan 1,0,Room_Type 1,244,2018,12,21,Online,94.5,1
2,0,Meal Plan 2,0,Room_Type 1,147,2018,10,8,Offline,128.76,0
2,1,Meal Plan 1,0,Room_Type 1,40,2018,6,27,Online,128.1,1
2,1,Meal Plan 1,0,Room_Type 1,1,2018,8,17,Online,115.89,0
2,0,Not Selected,0,Room_Type 1,21,2018,8,19,Online,148,0
1,0,Not Selected,0,Room_Type 1,6,2018,2,1,Online,81,0
2,0,Meal Plan 1,0,Room_Type 1,105,2018,6,11,Online,126.9,0
3,0,Meal Plan 1,0,Room_Type 4,33,2018,10,10,Online,186,1
2,0,Meal Plan 1,0,Room_Type 4,37,2018,6,20,Online,113.4,1
2,0,Meal Plan 1,0,Room_Type 4,78,2018,3,25,Online,105.3,1
2,1,Meal Plan 2,0,Room_Type 4,93,2018,10,22,Online,150.56,1
1,0,Meal Plan 1,0,Room_Type 1,1,2018,11,5,Offline,65,0
1,0,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Online,100,1
2,0,Meal Plan 1,0,Room_Type 1,155,2018,8,22,Online,96.12,0
2,0,Meal Plan 1,0,Room_Type 1,80,2018,11,10,Online,120.9,0
1,0,Meal Plan 1,0,Room_Type 1,3,2018,3,4,Online,107,0
1,0,Meal Plan 2,0,Room_Type 1,4,2018,3,7,Offline,88,0
2,0,Meal Plan 1,0,Room_Type 1,21,2018,4,28,Offline,95,0
1,0,Meal Plan 1,1,Room_Type 1,0,2018,12,15,Corporate,50,0
2,0,Meal Plan 1,0,Room_Type 1,35,2018,8,30,Online,119,0
2,0,Not Selected,0,Room_Type 1,76,2018,3,18,Online,72.25,0
1,0,Not Selected,0,Room_Type 1,3,2018,12,19,Online,55.6,0
2,0,Meal Plan 1,0,Room_Type 4,77,2018,10,7,Online,132.3,0
2,0,Meal Plan 2,0,Room_Type 1,133,2018,11,26,Online,117.3,0
2,0,Meal Plan 1,1,Room_Type 4,51,2018,8,23,Online,158.4,0
2,0,Meal Plan 2,0,Room_Type 1,4,2018,5,21,Offline,112,0
2,0,Meal Plan 1,0,Room_Type 1,11,2017,8,22,Online,90,0
2,0,Meal Plan 1,0,Room_Type 1,71,2018,2,23,Online,75.95,0
2,0,Meal Plan 1,0,Room_Type 1,256,2018,10,20,Online,96.3,0
1,0,Meal Plan 1,0,Room_Type 4,64,2018,4,1,Online,109.65,1
3,0,Meal Plan 1,0,Room_Type 4,41,2018,3,12,Online,114.3,0
2,0,Meal Plan 1,0,Room_Type 4,88,2018,10,20,Online,132.3,0
2,0,Meal Plan 1,0,Room_Type 4,46,2018,9,9,Online,158.4,0
2,0,Not Selected,0,Room_Type 1,0,2018,3,1,Online,89,0
1,0,Meal Plan 1,1,Room_Type 1,1,2018,4,6,Corporate,67,0
2,0,Meal Plan 1,0,Room_Type 4,44,2018,4,23,Online,117.15,0
2,0,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Online,109,1
2,0,Meal Plan 1,0,Room_Type 6,4,2018,11,20,Online,133.98,0
2,0,Meal Plan 1,0,Room_Type 1,28,2017,10,12,Online,110.65,0
2,0,Not Selected,0,Room_Type 1,126,2018,9,8,Online,118.8,1
2,0,Meal Plan 1,0,Room_Type 4,43,2018,5,21,Online,140.4,0
2,0,Meal Plan 1,0,Room_Type 1,154,2018,4,19,Offline,75,0
3,0,Meal Plan 1,1,Room_Type 4,103,2018,8,1,Online,146.7,0
2,2,Meal Plan 1,1,Room_Type 2,280,2018,8,12,Online,198.9,1
1,0,Meal Plan 1,0,Room_Type 1,1,2017,10,1,Offline,96,0
2,0,Meal Plan 1,0,Room_Type 1,37,2017,10,22,Online,96.3,0
1,0,Not Selected,0,Room_Type 1,1,2018,8,17,Online,78.41,0
2,0,Not Selected,0,Room_Type 1,4,2018,7,8,Online,139,0
3,0,Meal Plan 2,0,Room_Type 4,45,2018,6,27,Online,157.68,0
2,0,Meal Plan 1,0,Room_Type 4,116,2018,10,29,Online,104.4,0
1,0,Meal Plan 1,0,Room_Type 1,38,2018,2,15,Online,67.5,1
2,0,Not Selected,0,Room_Type 1,162,2018,8,8,Online,103.5,1
2,0,Meal Plan 1,0,Room_Type 1,35,2018,8,28,Online,111.83,1
3,0,Meal Plan 1,0,Room_Type 4,31,2018,7,9,Online,168.3,1
2,0,Meal Plan 1,0,Room_Type 1,69,2018,4,27,Online,105.3,1
2,0,Not Selected,0,Room_Type 1,71,2018,11,12,Online,77,0
2,0,Not Selected,0,Room_Type 1,0,2018,7,8,Online,143.5,0
1,0,Meal Plan 1,0,Room_Type 1,0,2018,12,13,Corporate,79,0
1,0,Meal Plan 1,0,Room_Type 1,253,2017,9,12,Online,80.75,0
2,0,Meal Plan 1,0,Room_Type 1,83,2018,7,23,Online,105.3,0
2,0,Not Selected,0,Room_Type 1,56,2018,12,16,Online,67.32,1
1,0,Meal Plan 1,0,Room_Type 1,6,2018,8,8,Corporate,65,1
3,0,Meal Plan 1,0,Room_Type 4,103,2018,8,2,Online,137.7,0
2,0,Meal Plan 1,0,Room_Type 1,63,2018,4,25,Online,105.6,0
2,0,Not Selected,0,Room_Type 1,97,2017,12,28,Online,53.38,0
2,0,Meal Plan 1,0,Room_Type 1,144,2018,7,3,Offline,112,0
2,0,Meal Plan 1,1,Room_Type 1,0,2018,11,14,Corporate,77,0
1,0,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,87,0
2,0,Meal Plan 1,0,Room_Type 1,2,2018,1,13,Corporate,42,0
2,0,Meal Plan 1,0,Room_Type 4,51,2018,5,28,Online,126.36,1
2,0,Meal Plan 1,0,Room_Type 1,167,2018,7,3,Online,77.03,1
2,1,Meal Plan 1,0,Room_Type 4,41,2017,11,1,Offline,75,0
2,0,Meal Plan 1,0,Room_Type 1,15,2018,2,18,Offline,92,0
2,0,Meal Plan 1,0,Room_Type 1,8,2018,3,18,Online,125,0
2,0,Meal Plan 1,0,Room_Type 1,31,2017,9,25,Online,200,0
2,0,Meal Plan 1,0,Room_Type 1,249,2018,10,22,Online,89.25,1
2,0,Meal Plan 1,0,Room_Type 4,18,2018,6,2,Online,140.9,0
2,0,Meal Plan 1,0,Room_Type 1,77,2017,12,31,Online,109.93,0
1,0,Meal Plan 1,1,Room_Type 1,29,2018,4,5,Corporate,67,0
3,0,Meal Plan 1,0,Room_Type 4,25,2018,9,18,Online,185,0
2,2,Meal Plan 1,0,Room_Type 6,56,2018,12,19,Online,156.6,1
2,0,Meal Plan 1,0,Room_Type 2,204,2018,7,12,Online,81.81,1
2,0,Meal Plan 1,0,Room_Type 2,89,2018,10,8,Online,108,0
2,0,Meal Plan 1,0,Room_Type 1,265,2018,10,9,Online,100.3,1
2,0,Meal Plan 1,0,Room_Type 1,159,2017,12,29,Offline,70.5,0
2,0,Meal Plan 1,0,Room_Type 1,24,2017,9,1,Offline,53.85,0
2,1,Meal Plan 1,0,Room_Type 1,141,2018,9,4,Online,149.85,0
1,0,Meal Plan 1,0,Room_Type 4,58,2018,9,8,Offline,90.95,0
2,0,Not Selected,0,Room_Type 1,41,2018,1,20,Online,62,0
2,0,Meal Plan 1,0,Room_Type 4,62,2018,12,7,Online,102.6,0
1,0,Meal Plan 1,0,Room_Type 1,31,2018,9,16,Offline,70,0
2,0,Meal Plan 1,0,Room_Type 1,34,2018,12,10,Online,68.07,0
1,2,Meal Plan 1,0,Room_Type 6,0,2017,8,8,Online,153,0
0,2,Meal Plan 1,0,Room_Type 2,87,2018,5,29,Online,112.01,0
2,2,Meal Plan 1,0,Room_Type 6,15,2018,5,6,Online,221,1
2,0,Meal Plan 1,0,Room_Type 1,82,2017,11,21,Online,72.25,0
1,0,Meal Plan 1,0,Room_Type 1,0,2018,4,23,Online,114,0
2,0,Meal Plan 1,0,Room_Type 1,53,2018,8,4,Online,135.9,1
2,0,Meal Plan 1,0,Room_Type 1,207,2018,6,10,Offline,80.75,0
2,1,Meal Plan 1,0,Room_Type 1,103,2018,8,13,Online,134.1,1
2,2,Meal Plan 1,0,Room_Type 6,118,2018,7,29,Online,183.3,1
2,0,Meal Plan 1,0,Room_Type 2,352,2018,12,29,Online,73.74,1
2,0,Meal Plan 1,0,Room_Type 1,114,2018,6,1,Offline,75,0
3,0,Meal Plan 1,0,Room_Type 1,85,2018,3,30,Offline,114.4,0
1,0,Meal Plan 1,0,Room_Type 1,0,2017,9,7,Corporate,65,0
2,0,Meal Plan 1,1,Room_Type 1,9,2017,8,20,Online,99,0
2,0,Not Selected,0,Room_Type 1,1,2017,9,29,Online,91.2,0
2,0,Meal Plan 1,0,Room_Type 1,68,2018,7,18,Online,105.3,0
2,0,Meal Plan 1,0,Room_Type 1,235,2018,11,29,Online,73.95,1
2,1,Meal Plan 1,0,Room_Type 1,51,2018,8,22,Online,152.1,0
2,0,Meal Plan 1,0,Room_Type 1,1,2018,4,4,Online,101,0
2,1,Meal Plan 1,0,Room_Type 1,10,2018,2,20,Online,109,0
2,0,Not Selected,0,Room_Type 1,7,2018,10,4,Online,140,0
2,0,Meal Plan 2,0,Room_Type 1,122,2018,4,2,Offline,110.24,0
2,0,Meal Plan 1,0,Room_Type 1,256,2018,10,16,Online,100.75,1
2,0,Not Selected,0,Room_Type 1,74,2018,11,13,Online,79.2,0
2,0,Meal Plan 1,0,Room_Type 4,82,2018,4,14,Online,103.7,1
2,0,Meal Plan 1,0,Room_Type 1,7,2017,8,19,Corporate,65,0
2,0,Meal Plan 1,0,Room_Type 1,45,2018,6,20,Online,101.7,1
2,0,Meal Plan 1,0,Room_Type 1,72,2018,11,9,Online,175.5,0
2,0,Meal Plan 1,1,Room_Type 4,17,2018,12,2,Online,107.09,0
2,2,Meal Plan 1,0,Room_Type 6,13,2018,11,13,Online,147.9,1
2,0,Meal Plan 1,0,Room_Type 4,38,2018,11,4,Online,118,0
2,0,Meal Plan 1,0,Room_Type 1,125,2018,11,1,Online,90,0
1,0,Meal Plan 1,1,Room_Type 1,28,2018,7,14,Corporate,67,0
2,0,Meal Plan 1,0,Room_Type 4,12,2018,9,25,Online,164,1
2,0,Meal Plan 1,0,Room_Type 1,5,2017,9,7,Online,75.24,0
1,0,Not Selected,0,Room_Type 1,24,2018,11,20,Online,60.06,0
1,0,Meal Plan 1,0,Room_Type 4,6,2018,7,3,Online,156.5,0
2,0,Meal Plan 1,0,Room_Type 1,3,2018,2,25,Online,80.8,0
0,2,Meal Plan 1,0,Room_Type 2,66,2018,10,20,Online,108,0
2,0,Not Selected,0,Room_Type 1,48,2018,2,24,Online,51.09,0
0,2,Meal Plan 1,0,Room_Type 2,241,2018,10,29,Online,81.76,0
2,0,Meal Plan 1,0,Room_Type 4,62,2018,9,18,Online,149.4,0
2,0,Meal Plan 1,0,Room_Type 4,45,2018,4,17,Online,112.8,1
2,0,Meal Plan 1,0,Room_Type 1,56,2018,11,11,Online,97.2,0
3,0,Meal Plan 2,0,Room_Type 4,54,2018,8,24,Online,208.41,1
2,0,Not Selected,0,Room_Type 1,35,2018,2,11,Online,67.5,1
2,0,Meal Plan 1,0,Room_Type 1,157,2018,3,19,Online,90,0
2,0,Meal Plan 1,0,Room_Type 1,85,2018,2,6,Online,57,1
2,0,Meal Plan 1,0,Room_Type 1,152,2018,8,1,Offline,72.25,0
2,0,Meal Plan 1,0,Room_Type 1,39,2018,3,14,Online,81.9,0
2,0,Meal Plan 1,0,Room_Type 1,30,2018,2,21,Online,65.06,0
2,1,Not Selected,0,Room_Type 1,67,2017,12,5,Online,112.9,0
1,0,Not Selected,0,Room_Type 1,36,2018,10,13,Online,102.6,0
1,0,Meal Plan 1,0,Room_Type 1,164,2018,10,16,Online,115,1
1,0,Meal Plan 1,0,Room_Type 1,18,2017,11,11,Online,101,0
2,0,Not Selected,0,Room_Type 1,6,2018,9,16,Online,149,0
2,0,Meal Plan 1,0,Room_Type 1,105,2018,10,12,Online,75,1
3,0,Meal Plan 1,0,Room_Type 1,37,2018,4,3,Online,150.3,1
2,0,Meal Plan 1,0,Room_Type 1,44,2018,9,20,Online,101.52,0
2,0,Not Selected,0,Room_Type 2,99,2018,4,8,Online,85.5,1
2,0,Meal Plan 1,0,Room_Type 1,33,2018,4,16,Online,103.05,0
3,0,Meal Plan 2,0,Room_Type 1,165,2018,8,19,Online,180.2,1
2,0,Meal Plan 1,0,Room_Type 1,90,2017,11,24,Online,72.25,0
2,0,Meal Plan 1,0,Room_Type 1,159,2018,9,19,Online,144,1
2,0,Meal Plan 1,0,Room_Type 1,47,2018,1,30,Online,55.24,0
2,0,Meal Plan 1,0,Room_Type 1,138,2018,4,23,Online,90.95,0
2,2,Meal Plan 1,1,Room_Type 6,61,2018,9,7,Online,207.64,0
2,0,Meal Plan 2,0,Room_Type 1,16,2017,8,15,Offline,104,0
1,0,Meal Plan 1,0,Room_Type 1,13,2017,8,20,Online,80,1
3,0,Meal Plan 1,0,Room_Type 4,55,2018,3,20,Online,124.1,0
1,0,Not Selected,0,Room_Type 1,13,2018,12,19,Online,78,0
1,0,Meal Plan 1,0,Room_Type 1,0,2018,5,2,Corporate,65,0
2,1,Meal Plan 1,0,Room_Type 1,70,2018,12,9,Offline,80.33,0
2,1,Meal Plan 1,0,Room_Type 1,11,2018,12,6,Online,124,0
2,0,Meal Plan 1,0,Room_Type 1,29,2018,7,18,Online,130.68,0
2,0,Meal Plan 1,0,Room_Type 4,69,2018,4,17,Online,110.08,0
2,0,Meal Plan 1,0,Room_Type 1,79,2018,3,28,Online,87.3,0
2,0,Meal Plan 1,0,Room_Type 4,82,2018,5,21,Offline,90.95,0
2,0,Not Selected,0,Room_Type 1,84,2018,10,31,Online,79.43,0
2,0,Not Selected,0,Room_Type 1,258,2018,10,2,Online,90.1,1
3,0,Meal Plan 1,0,Room_Type 4,114,2018,5,15,Offline,115.6,0
2,0,Meal Plan 1,0,Room_Type 1,114,2018,7,11,Online,81.26,0
2,0,Meal Plan 1,0,Room_Type 4,123,2018,8,1,Offline,91.7,0
2,0,Not Selected,0,Room_Type 1,20,2018,12,7,Online,81.3,0
3,0,Meal Plan 1,0,Room_Type 1,40,2017,10,7,Online,99.71,0
2,0,Meal Plan 1,0,Room_Type 4,146,2018,8,20,Online,116.23,0
3,0,Meal Plan 1,0,Room_Type 4,24,2018,7,26,Online,187,1
2,0,Meal Plan 1,0,Room_Type 1,0,2018,1,22,Online,91,0
1,0,Meal Plan 1,1,Room_Type 1,2,2018,5,4,Corporate,67,0
2,0,Not Selected,0,Room_Type 1,268,2018,10,1,Online,95.4,1
2,0,Meal Plan 1,0,Room_Type 6,25,2018,5,19,Online,221,1
2,1,Meal Plan 1,0,Room_Type 4,48,2018,12,23,Online,138.6,0
2,0,Meal Plan 1,0,Room_Type 1,0,2018,9,12,Offline,120,0
1,0,Meal Plan 1,0,Room_Type 1,1,2018,10,13,Offline,109.65,0
2,0,Not Selected,0,Room_Type 1,35,2018,11,29,Online,74.8,1
2,0,Meal Plan 1,0,Room_Type 1,13,2018,5,30,Online,85.32,0
2,0,Meal Plan 1,0,Room_Type 1,140,2018,6,15,Offline,80.75,0
2,0,Meal Plan 1,0,Room_Type 1,6,2018,4,22,Online,91.44,0
3,0,Meal Plan 1,0,Room_Type 4,49,2018,10,15,Online,158.4,1
3,0,Meal Plan 1,0,Room_Type 4,203,2018,8,27,Online,137.7,1
2,0,Not Selected,0,Room_Type 1,52,2018,7,18,Online,94.5,1
2,0,Meal Plan 1,0,Room_Type 1,0,2017,9,22,Complementary,0,0
2,0,Not Selected,0,Room_Type 1,18,2018,2,26,Online,81,0
2,0,Meal Plan 1,0,Room_Type 1,58,2018,12,9,Online,93.6,0
2,0,Meal Plan 1,0,Room_Type 1,129,2018,5,10,Online,99.45,0
2,0,Meal Plan 1,0,Room_Type 1,163,2018,9,12,Online,126.9,1
2,0,Meal Plan 1,0,Room_Type 1,66,2018,11,25,Online,88.4,0
1,0,Meal Plan 2,0,Room_Type 1,13,2018,4,26,Offline,73,0
2,0,Meal Plan 1,0,Room_Type 1,5,2018,7,5,Online,149,0
2,0,Meal Plan 1,0,Room_Type 1,3,2018,2,13,Offline,85,0
2,0,Not Selected,1,Room_Type 1,8,2018,8,9,Online,148,0
2,0,Meal Plan 1,0,Room_Type 1,41,2018,11,3,Offline,112,0
2,0,Not Selected,0,Room_Type 1,16,2018,11,13,Online,74.8,1
2,0,Meal Plan 1,0,Room_Type 1,157,2018,7,7,Offline,72.25,0
2,0,Not Selected,0,Room_Type 1,27,2017,9,18,Online,115,0
2,0,Not Selected,0,Room_Type 1,16,2018,10,21,Online,140,0
2,0,Not Selected,0,Room_Type 1,18,2018,11,7,Offline,66.25,0
1,0,Meal Plan 1,0,Room_Type 5,5,2018,5,4,Corporate,106,0
2,0,Not Selected,0,Room_Type 1,17,2018,12,9,Online,92.67,0
2,0,Meal Plan 1,0,Room_Type 1,159,2018,9,16,Online,130.14,1
1,0,Meal Plan 1,0,Room_Type 1,5,2018,4,18,Online,95,0
2,0,Meal Plan 1,0,Room_Type 1,53,2018,2,27,Online,80.2,0
2,0,Meal Plan 1,0,Room_Type 1,35,2018,10,28,Online,129,0
2,0,Meal Plan 1,0,Room_Type 4,6,2018,2,19,Online,107,0
2,1,Meal Plan 1,0,Room_Type 1,38,2018,3,24,Online,133.8,1
3,0,Meal Plan 1,0,Room_Type 4,96,2018,10,26,Online,110.97,1
1,0,Meal Plan 1,0,Room_Type 1,125,2018,7,29,Online,99.9,0
2,0,Meal Plan 1,0,Room_Type 1,22,2018,10,5,Offline,85,0
2,1,Meal Plan 1,0,Room_Type 4,199,2018,7,23,Online,94.51,0
2,0,Meal Plan 1,0,Room_Type 1,286,2018,12,9,Online,78.3,0
2,0,Not Selected,0,Room_Type 1,115,2018,10,13,Online,108,1
3,0,Meal Plan 1,0,Room_Type 6,31,2018,9,7,Online,152.81,1
2,0,Not Selected,0,Room_Type 1,86,2018,8,12,Online,107.1,0
2,0,Meal Plan 1,0,Room_Type 1,171,2018,8,11,Online,99.45,0
1,0,Meal Plan 1,1,Room_Type 1,6,2018,3,1,Corporate,68,0
1,0,Meal Plan 1,0,Room_Type 1,18,2018,2,20,Online,86,0
2,0,Meal Plan 1,0,Room_Type 1,251,2018,12,31,Online,79.29,1
2,0,Not Selected,0,Room_Type 1,0,2018,5,18,Offline,103.2,0
2,2,Meal Plan 1,0,Room_Type 6,58,2018,10,21,Online,198,0
3,0,Meal Plan 1,0,Room_Type 4,87,2018,6,29,Online,146.7,0
2,0,Meal Plan 1,0,Room_Type 4,6,2018,5,9,Online,126,0
1,0,Meal Plan 1,0,Room_Type 1,19,2017,10,27,Corporate,95,0
2,0,Not Selected,0,Room_Type 1,133,2018,12,22,Online,74.8,1
1,0,Meal Plan 1,0,Room_Type 4,71,2018,5,7,Online,132.6,0
2,0,Meal Plan 1,0,Room_Type 4,1,2017,10,7,Online,155,0
2,0,Meal Plan 1,0,Room_Type 1,1,2018,6,11,Online,121,0
2,0,Meal Plan 1,0,Room_Type 4,31,2018,6,20,Online,107.1,1
1,0,Meal Plan 1,0,Room_Type 1,231,2018,12,27,Online,69.58,1
2,0,Meal Plan 2,1,Room_Type 1,49,2018,5,9,Online,170.1,0
2,0,Meal Plan 1,0,Room_Type 1,3,2018,1,25,Online,93,0
2,1,Meal Plan 1,0,Room_Type 1,33,2018,5,1,Online,143.1,1
2,0,Meal Plan 1,0,Room_Type 1,132,2018,7,14,Offline,72.25,0
1,0,Meal Plan 1,0,Room_Type 1,42,2018,11,7,Online,0,0
2,0,Not Selected,0,Room_Type 1,3,2018,7,8,Online,139,1
3,0,Meal Plan 1,0,Room_Type 4,49,2018,5,7,Online,159.3,0
2,1,Meal Plan 1,0,Room_Type 1,16,2018,2,17,Online,109,0
2,0,Meal Plan 1,0,Room_Type 4,175,2018,7,10,Online,99.45,0
2,0,Meal Plan 1,0,Room_Type 1,181,2017,7,1,Online,76.5,1
2,0,Not Selected,0,Room_Type 1,62,2018,3,4,Online,69.5,0
3,0,Meal Plan 1,0,Room_Type 4,250,2018,10,24,Online,128.7,1
3,0,Meal Plan 1,0,Room_Type 4,63,2018,6,8,Online,159.3,1
2,1,Meal Plan 1,0,Room_Type 1,0,2018,6,26,Online,127,0
2,0,Not Selected,0,Room_Type 1,7,2018,7,20,Online,99,0
3,0,Meal Plan 1,0,Room_Type 4,72,2018,10,31,Online,126.64,1
2,0,Meal Plan 1,0,Room_Type 1,130,2018,5,5,Online,105.3,1
2,0,Meal Plan 1,0,Room_Type 1,185,2018,10,10,Online,113.4,1
2,0,Meal Plan 1,0,Room_Type 1,5,2018,2,16,Online,91,0
2,0,Meal Plan 1,0,Room_Type 1,147,2018,9,25,Online,129.6,0
1,0,Not Selected,0,Room_Type 1,180,2018,10,10,Online,98.1,1
2,2,Meal Plan 1,0,Room_Type 1,86,2018,12,8,Online,122,1
2,2,Meal Plan 1,0,Room_Type 7,4,2018,7,8,Online,306,0
2,0,Meal Plan 1,0,Room_Type 4,3,2018,5,16,Online,132.6,0
2,2,Meal Plan 1,0,Room_Type 6,33,2018,7,29,Online,207.9,0
2,0,Not Selected,0,Room_Type 1,0,2018,6,9,Online,69.01,0
2,0,Meal Plan 1,0,Room_Type 1,131,2018,6,19,Online,115.94,1
2,0,Meal Plan 1,0,Room_Type 1,6,2018,2,21,Offline,70,0
2,0,Meal Plan 1,0,Room_Type 1,48,2018,10,21,Offline,85.5,0
2,0,Meal Plan 1,0,Room_Type 2,1,2017,8,14,Complementary,0,0
2,0,Meal Plan 1,0,Room_Type 1,2,2018,4,7,Online,101,0
2,0,Meal Plan 1,0,Room_Type 1,14,2017,12,26,Online,93.67,0
1,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,90,1
3,0,Meal Plan 1,0,Room_Type 4,155,2018,10,20,Online,142.83,1
3,0,Meal Plan 1,0,Room_Type 1,220,2018,6,2,Online,105.84,1
2,0,Meal Plan 1,0,Room_Type 1,125,2018,8,29,Offline,89.75,0
3,0,Meal Plan 1,0,Room_Type 4,39,2018,12,8,Online,130.9,0
2,0,Meal Plan 2,0,Room_Type 1,163,2018,8,21,Offline,72.25,0
2,0,Not Selected,0,Room_Type 1,6,2017,9,20,Online,138.57,0
2,0,Not Selected,0,Room_Type 1,19,2018,11,26,Online,57.59,0
2,0,Meal Plan 1,0,Room_Type 4,29,2018,10,15,Online,154.5,1
2,0,Not Selected,0,Room_Type 1,81,2018,8,16,Online,125.1,0
2,0,Meal Plan 2,0,Room_Type 1,162,2017,9,4,Offline,85.17,0
2,0,Meal Plan 1,0,Room_Type 1,158,2018,7,7,Online,114.3,1
2,0,Meal Plan 1,0,Room_Type 1,109,2018,8,29,Offline,72.25,0
2,0,Meal Plan 1,0,Room_Type 1,112,2018,11,24,Online,90,0
1,0,Meal Plan 1,0,Room_Type 1,1,2018,4,19,Offline,107,0
1,0,Meal Plan 1,0,Room_Type 1,12,2018,1,24,Corporate,66,0
2,0,Meal Plan 1,0,Room_Type 1,80,2018,7,24,Offline,72.25,0
3,0,Meal Plan 1,0,Room_Type 1,84,2018,6,26,Online,103.72,0
1,0,Meal Plan 1,0,Room_Type 1,15,2018,2,18,Offline,85.33,0
2,0,Meal Plan 1,0,Room_Type 1,79,2017,7,15,Online,85.5,1
2,2,Meal Plan 1,0,Room_Type 6,118,2018,7,24,Online,186.3,0
3,0,Meal Plan 1,0,Room_Type 4,43,2018,3,11,Online,114.3,0
2,0,Meal Plan 1,1,Room_Type 1,9,2018,8,14,Online,125.27,0
2,0,Not Selected,0,Room_Type 1,121,2018,6,17,Online,116.1,0
3,0,Meal Plan 1,0,Room_Type 1,35,2018,9,5,Online,118.8,0
2,0,Meal Plan 1,0,Room_Type 4,0,2018,5,27,Online,182.33,1
2,0,Meal Plan 1,0,Room_Type 1,18,2018,11,25,Online,104,1
2,0,Meal Plan 2,0,Room_Type 1,220,2018,9,17,Online,156,1
